"measure","tp","est","SE","df","t.value","p.value","sig"
"SWMBE468","boundlessMean",0.03,0.12,14.4,0.25,"0.804",""
"SWMBE468","anxiousEgoMean",-0.13,0.23,14.4,-0.58,"0.574",""
"SWMBE468","visionaryMean",-0.2,0.2,14.4,-1.05,"0.312",""
"SWMBE468","tp(A7):boundlessMean",0.19,0.1,24,1.85,"0.076",""
"SWMBE468","tp(B7):boundlessMean",0.06,0.1,24,0.59,"0.560",""
"SWMBE468","tp(B30):boundlessMean",0,0.1,24,0,"0.999",""
"SWMBE468","tp(A7):anxiousEgoMean",0.22,0.2,24,1.1,"0.282",""
"SWMBE468","tp(B7):anxiousEgoMean",0.23,0.2,24,1.15,"0.260",""
"SWMBE468","tp(B30):anxiousEgoMean",0.13,0.2,24,0.66,"0.513",""
"SWMBE468","tp(A7):visionaryMean",-0.25,0.17,24,-1.51,"0.145",""
"SWMBE468","tp(B7):visionaryMean",0.02,0.17,24,0.12,"0.906",""
"SWMBE468","tp(B30):visionaryMean",-0.1,0.17,24,-0.63,"0.532",""
"SWMBE6","(Intercept)",12.82,3.76,15.9,3.41,"0.004","**"
"SWMBE6","tp(A7)",-7.68,3.45,24,-2.23,"0.035","*"
"SWMBE6","tp(B7)",-7.4,3.45,24,-2.15,"0.042","*"
"SWMBE6","tp(B30)",-7.3,3.45,24,-2.12,"0.045","*"
"SWMBE6","boundlessMean",-0.02,0.04,15.9,-0.51,"0.615",""
"SWMBE6","anxiousEgoMean",-0.08,0.08,15.9,-0.97,"0.346",""
"SWMBE6","visionaryMean",-0.07,0.07,15.9,-1,"0.332",""
"SWMBE6","tp(A7):boundlessMean",0.05,0.04,24,1.39,"0.178",""
"SWMBE6","tp(B7):boundlessMean",0.05,0.04,24,1.24,"0.228",""
"SWMBE6","tp(B30):boundlessMean",0.06,0.04,24,1.42,"0.169",""
"SWMBE6","tp(A7):anxiousEgoMean",0.15,0.08,24,2.03,"0.054",""
"SWMBE6","tp(B7):anxiousEgoMean",0.04,0.08,24,0.55,"0.586",""
"SWMBE6","tp(B30):anxiousEgoMean",0.09,0.08,24,1.24,"0.227",""
"SWMBE6","tp(A7):visionaryMean",-0.04,0.06,24,-0.7,"0.490",""
"SWMBE6","tp(B7):visionaryMean",0.01,0.06,24,0.09,"0.928",""
"SWMBE6","tp(B30):visionaryMean",-0.01,0.06,24,-0.22,"0.830",""
"SWMBE8","(Intercept)",13.91,7.17,18.4,1.94,"0.068",""
"SWMBE8","tp(A7)",2.07,7.19,24,0.29,"0.777",""
"SWMBE8","tp(B7)",-6.82,7.19,24,-0.95,"0.353",""
"SWMBE8","tp(B30)",9.77,7.19,24,1.36,"0.187",""
"SWMBE8","boundlessMean",0.04,0.08,18.4,0.49,"0.631",""
"SWMBE8","anxiousEgoMean",-0.02,0.16,18.4,-0.15,"0.880",""
"SWMBE8","visionaryMean",-0.09,0.13,18.4,-0.69,"0.497",""
"SWMBE8","tp(A7):boundlessMean",0.14,0.08,24,1.67,"0.108",""
"SWMBE8","tp(B7):boundlessMean",0.02,0.08,24,0.29,"0.773",""
"SWMBE8","tp(B30):boundlessMean",-0.05,0.08,24,-0.62,"0.540",""
"SWMBE8","tp(A7):anxiousEgoMean",0.05,0.16,24,0.32,"0.751",""
"SWMBE8","tp(B7):anxiousEgoMean",0.13,0.16,24,0.83,"0.413",""
"SWMBE8","tp(B30):anxiousEgoMean",-0.02,0.16,24,-0.15,"0.883",""
"SWMBE8","tp(A7):visionaryMean",-0.23,0.13,24,-1.77,"0.090",""
"SWMBE8","tp(B7):visionaryMean",-0.02,0.13,24,-0.15,"0.883",""
"SWMBE8","tp(B30):visionaryMean",-0.11,0.13,24,-0.84,"0.409",""
"SWMS","(Intercept)",13.25,3.9,11.4,3.4,"0.006","**"
"SWMS","tp(A7)",-0.59,2.6,24,-0.23,"0.824",""
"SWMS","tp(B7)",-6.27,2.6,24,-2.41,"0.024","*"
"SWMS","tp(B30)",1.18,2.6,24,0.45,"0.654",""
"SWMS","boundlessMean",-0.01,0.04,11.4,-0.16,"0.872",""
"SWMS","anxiousEgoMean",-0.06,0.09,11.4,-0.66,"0.523",""
"SWMS","visionaryMean",-0.04,0.07,11.4,-0.59,"0.567",""
"SWMS","tp(A7):boundlessMean",0.06,0.03,24,2,"0.056",""
"SWMS","tp(B7):boundlessMean",0.02,0.03,24,0.64,"0.530",""
"SWMS","tp(B30):boundlessMean",0.08,0.03,24,2.59,"0.016","*"
"SWMS","tp(A7):anxiousEgoMean",0.03,0.06,24,0.57,"0.571",""
"SWMS","tp(B7):anxiousEgoMean",0.1,0.06,24,1.8,"0.084",""
"SWMS","tp(B30):anxiousEgoMean",0.01,0.06,24,0.19,"0.854",""
"SWMS","tp(A7):visionaryMean",-0.08,0.05,24,-1.74,"0.095",""
"SWMS","tp(B7):visionaryMean",0.01,0.05,24,0.22,"0.829",""
"SWMS","tp(B30):visionaryMean",-0.13,0.05,24,-2.62,"0.015","*"
"CCFQ","(Intercept)",77.36,16.26,10.8,4.76,"<0.001","***"
"CCFQ","tp(A7)",18.12,10.09,24,1.8,"0.085",""
"CCFQ","tp(B7)",1.6,10.09,24,0.16,"0.876",""
"CCFQ","tp(B30)",2.73,10.09,24,0.27,"0.789",""
"CCFQ","boundlessMean",-0.14,0.19,10.8,-0.75,"0.469",""
"CCFQ","anxiousEgoMean",0.15,0.36,10.8,0.41,"0.687",""
"CCFQ","visionaryMean",-0.07,0.3,10.8,-0.23,"0.820",""
"CCFQ","tp(A7):boundlessMean",0.17,0.12,24,1.44,"0.164",""
"CCFQ","tp(B7):boundlessMean",0.1,0.12,24,0.89,"0.384",""
"CCFQ","tp(B30):boundlessMean",0.23,0.12,24,1.98,"0.059",""
"CCFQ","tp(A7):anxiousEgoMean",-0.17,0.22,24,-0.78,"0.440",""
"CCFQ","tp(B7):anxiousEgoMean",-0.3,0.22,24,-1.36,"0.186",""
"CCFQ","tp(B30):anxiousEgoMean",-0.06,0.22,24,-0.25,"0.805",""
"CCFQ","tp(A7):visionaryMean",-0.35,0.19,24,-1.86,"0.075",""
"CCFQ","tp(B7):visionaryMean",0.06,0.19,24,0.34,"0.736",""
"CCFQ","tp(B30):visionaryMean",-0.18,0.19,24,-0.99,"0.334",""
"CSSRS","(Intercept)",1.03,1.06,26.1,0.97,"0.340",""
"CSSRS","tp(A7)",-1.08,1.28,24,-0.85,"0.406",""
"CSSRS","tp(B7)",-0.98,1.28,24,-0.76,"0.452",""
"CSSRS","tp(B30)",-1.96,1.28,24,-1.53,"0.139",""
"CSSRS","boundlessMean",-0.03,0.01,26.1,-2.47,"0.020","*"
"CSSRS","anxiousEgoMean",0.01,0.02,26.1,0.62,"0.542",""
"CSSRS","visionaryMean",0.02,0.02,26.1,1.25,"0.224",""
"CSSRS","tp(A7):boundlessMean",0.04,0.01,24,2.55,"0.017","*"
"CSSRS","tp(B7):boundlessMean",0.02,0.01,24,1.68,"0.107",""
"CSSRS","tp(B30):boundlessMean",0.02,0.01,24,1.53,"0.139",""
"CSSRS","tp(A7):anxiousEgoMean",-0.02,0.03,24,-0.57,"0.574",""
"CSSRS","tp(B7):anxiousEgoMean",-0.01,0.03,24,-0.31,"0.758",""
"CSSRS","tp(B30):anxiousEgoMean",-0.01,0.03,24,-0.43,"0.669",""
"CSSRS","tp(A7):visionaryMean",-0.03,0.02,24,-1.16,"0.256",""
"CSSRS","tp(B7):visionaryMean",-0.02,0.02,24,-0.83,"0.412",""
"CSSRS","tp(B30):visionaryMean",0.01,0.02,24,0.22,"0.828",""
"ESAPS","(Intercept)",1.71,3.43,12.7,0.5,"0.626",""
"ESAPS","tp(A7)",-1.31,2.61,24,-0.5,"0.621",""
"ESAPS","tp(B7)",-1.18,2.61,24,-0.45,"0.657",""
"ESAPS","tp(B30)",-2.43,2.61,24,-0.93,"0.363",""
"ESAPS","boundlessMean",0.03,0.04,12.7,0.7,"0.494",""
"ESAPS","anxiousEgoMean",-0.02,0.08,12.7,-0.28,"0.781",""
"ESAPS","visionaryMean",-0.01,0.06,12.7,-0.11,"0.914",""
"ESAPS","tp(A7):boundlessMean",-0.02,0.03,24,-0.62,"0.539",""
"ESAPS","tp(B7):boundlessMean",0.01,0.03,24,0.38,"0.709",""
"ESAPS","tp(B30):boundlessMean",-0.01,0.03,24,-0.36,"0.719",""
"ESAPS","tp(A7):anxiousEgoMean",0.01,0.06,24,0.18,"0.862",""
"ESAPS","tp(B7):anxiousEgoMean",-0.01,0.06,24,-0.17,"0.870",""
"ESAPS","tp(B30):anxiousEgoMean",0.01,0.06,24,0.19,"0.852",""
"ESAPS","tp(A7):visionaryMean",0.01,0.05,24,0.11,"0.917",""
"ESAPS","tp(B7):visionaryMean",-0.01,0.05,24,-0.14,"0.891",""
"ESAPS","tp(B30):visionaryMean",0.02,0.05,24,0.51,"0.617",""
"HAMA","(Intercept)",13.62,8.09,17.4,1.68,"0.110",""
"HAMA","tp(A7)",-5.42,7.86,24,-0.69,"0.497",""
"HAMA","tp(B7)",-10.45,7.86,24,-1.33,"0.196",""
"HAMA","tp(B30)",-9.22,7.86,24,-1.17,"0.252",""
"HAMA","boundlessMean",-0.02,0.09,17.4,-0.18,"0.859",""
"HAMA","anxiousEgoMean",0.07,0.18,17.4,0.38,"0.709",""
"HAMA","visionaryMean",0.03,0.15,17.4,0.23,"0.822",""
"HAMA","tp(A7):boundlessMean",-0.04,0.09,24,-0.46,"0.650",""
"HAMA","tp(B7):boundlessMean",-0.03,0.09,24,-0.37,"0.718",""
"HAMA","tp(B30):boundlessMean",0.07,0.09,24,0.75,"0.460",""
"HAMA","tp(A7):anxiousEgoMean",0.08,0.17,24,0.46,"0.651",""
"HAMA","tp(B7):anxiousEgoMean",0.06,0.17,24,0.35,"0.728",""
"HAMA","tp(B30):anxiousEgoMean",0.3,0.17,24,1.73,"0.097",""
"HAMA","tp(A7):visionaryMean",0.08,0.15,24,0.53,"0.601",""
"HAMA","tp(B7):visionaryMean",0.11,0.15,24,0.73,"0.475",""
"HAMA","tp(B30):visionaryMean",-0.12,0.15,24,-0.8,"0.434",""
"MADRS","(Intercept)",4.53,10.93,24,0.41,"0.682",""
"MADRS","tp(A7)",-0.59,12.63,24,-0.05,"0.963",""
"MADRS","tp(B7)",-1.97,12.63,24,-0.16,"0.878",""
"MADRS","tp(B30)",-8.99,12.63,24,-0.71,"0.484",""
"MADRS","boundlessMean",-0.27,0.12,24,-2.17,"0.040","*"
"MADRS","anxiousEgoMean",0.51,0.24,24,2.12,"0.044","*"
"MADRS","visionaryMean",0.31,0.2,24,1.51,"0.144",""
"MADRS","tp(A7):boundlessMean",0.21,0.14,24,1.44,"0.163",""
"MADRS","tp(B7):boundlessMean",0.15,0.14,24,1.04,"0.307",""
"MADRS","tp(B30):boundlessMean",0.31,0.14,24,2.16,"0.041","*"
"MADRS","tp(A7):anxiousEgoMean",-0.11,0.28,24,-0.4,"0.696",""
"MADRS","tp(B7):anxiousEgoMean",-0.18,0.28,24,-0.64,"0.528",""
"MADRS","tp(B30):anxiousEgoMean",-0.1,0.28,24,-0.37,"0.711",""
"MADRS","tp(A7):visionaryMean",-0.23,0.23,24,-0.99,"0.332",""
"MADRS","tp(B7):visionaryMean",-0.17,0.23,24,-0.72,"0.479",""
"MADRS","tp(B30):visionaryMean",-0.24,0.23,24,-1.04,"0.311",""
"PLR","(Intercept)",4.38,3.18,25.9,1.37,"0.181",""
"PLR","tp(A7)",2.67,4.22,18.2,0.63,"0.535",""
"PLR","tp(B7)",2.03,4.38,18.5,0.46,"0.649",""
"PLR","tp(B30)",4.98,4.37,18.3,1.14,"0.270",""
"PLR","boundlessMean",-0.01,0.04,26,-0.12,"0.903",""
"PLR","anxiousEgoMean",-0.01,0.07,25.8,-0.13,"0.897",""
"PLR","visionaryMean",-0.02,0.07,26,-0.22,"0.826",""
"PLR","tp(A7):boundlessMean",0.03,0.05,20.3,0.52,"0.612",""
"PLR","tp(B7):boundlessMean",-0.03,0.06,21.9,-0.49,"0.631",""
"PLR","tp(B30):boundlessMean",-0.01,0.06,18.6,-0.11,"0.915",""
"PLR","tp(A7):anxiousEgoMean",0,0.09,17.8,-0.02,"0.987",""
"PLR","tp(B7):anxiousEgoMean",0.01,0.09,17.9,0.12,"0.907",""
"PLR","tp(B30):anxiousEgoMean",-0.04,0.09,17.5,-0.44,"0.667",""
"PLR","tp(A7):visionaryMean",-0.04,0.09,19.9,-0.47,"0.641",""
"PLR","tp(B7):visionaryMean",0.03,0.09,19.8,0.4,"0.694",""
"PLR","tp(B30):visionaryMean",-0.01,0.09,19.8,-0.1,"0.918",""
"UPDRS_1","(Intercept)",15.51,4.97,25.6,3.12,"0.004","**"
"UPDRS_1","tp(A7)",-8.57,5.92,24,-1.45,"0.161",""
"UPDRS_1","tp(B7)",-6.95,5.92,24,-1.17,"0.252",""
"UPDRS_1","tp(B30)",-11.53,5.92,24,-1.95,"0.063",""
"UPDRS_1","boundlessMean",0.1,0.06,25.6,1.8,"0.084",""
"UPDRS_1","anxiousEgoMean",-0.04,0.11,25.6,-0.34,"0.739",""
"UPDRS_1","visionaryMean",0.01,0.09,25.6,0.16,"0.873",""
"UPDRS_1","tp(A7):boundlessMean",-0.1,0.07,24,-1.51,"0.145",""
"UPDRS_1","tp(B7):boundlessMean",-0.09,0.07,24,-1.37,"0.183",""
"UPDRS_1","tp(B30):boundlessMean",-0.07,0.07,24,-1.03,"0.312",""
"UPDRS_1","tp(A7):anxiousEgoMean",0.1,0.13,24,0.77,"0.449",""
"UPDRS_1","tp(B7):anxiousEgoMean",0.11,0.13,24,0.86,"0.397",""
"UPDRS_1","tp(B30):anxiousEgoMean",0.12,0.13,24,0.95,"0.353",""
"UPDRS_1","tp(A7):visionaryMean",0.03,0.11,24,0.24,"0.816",""
"UPDRS_1","tp(B7):visionaryMean",-0.07,0.11,24,-0.67,"0.509",""
"UPDRS_1","tp(B30):visionaryMean",-0.03,0.11,24,-0.26,"0.798",""
"UPDRS_2","(Intercept)",19.5,6.17,12.1,3.16,"0.008","**"
"UPDRS_2","tp(A7)",-6.38,4.44,24,-1.44,"0.164",""
"UPDRS_2","tp(B7)",-12.2,4.44,24,-2.75,"0.011","*"
"UPDRS_2","tp(B30)",-12.98,4.44,24,-2.92,"0.007","**"
"UPDRS_2","boundlessMean",0.2,0.07,12.1,2.83,"0.015","*"
"UPDRS_2","anxiousEgoMean",-0.29,0.13,12.1,-2.13,"0.054",""
"UPDRS_2","visionaryMean",-0.12,0.11,12.1,-1.08,"0.303",""
"UPDRS_2","tp(A7):boundlessMean",-0.07,0.05,24,-1.34,"0.192",""
"UPDRS_2","tp(B7):boundlessMean",-0.06,0.05,24,-1.27,"0.217",""
"UPDRS_2","tp(B30):boundlessMean",-0.06,0.05,24,-1.15,"0.260",""
"UPDRS_2","tp(A7):anxiousEgoMean",0.1,0.1,24,1.03,"0.315",""
"UPDRS_2","tp(B7):anxiousEgoMean",0.14,0.1,24,1.42,"0.168",""
"UPDRS_2","tp(B30):anxiousEgoMean",0.1,0.1,24,1.01,"0.324",""
"UPDRS_2","tp(A7):visionaryMean",0.05,0.08,24,0.6,"0.555",""
"UPDRS_2","tp(B7):visionaryMean",0.09,0.08,24,1.08,"0.292",""
"UPDRS_2","tp(B30):visionaryMean",0.1,0.08,24,1.28,"0.214",""
"UPDRS_3","(Intercept)",47.22,17.4,8.8,2.71,"0.024","*"
"UPDRS_3","tp(A7)",1.39,5.98,24,0.23,"0.818",""
"UPDRS_3","tp(B7)",5.1,5.98,24,0.85,"0.401",""
"UPDRS_3","tp(B30)",2.4,5.98,24,0.4,"0.691",""
"UPDRS_3","boundlessMean",0.23,0.2,8.8,1.17,"0.272",""
"UPDRS_3","anxiousEgoMean",-0.24,0.38,8.8,-0.62,"0.549",""
"UPDRS_3","visionaryMean",-0.28,0.32,8.8,-0.88,"0.403",""
"UPDRS_3","tp(A7):boundlessMean",0.09,0.07,24,1.25,"0.223",""
"UPDRS_3","tp(B7):boundlessMean",0.04,0.07,24,0.61,"0.548",""
"UPDRS_3","tp(B30):boundlessMean",0.13,0.07,24,1.87,"0.074",""
"UPDRS_3","tp(A7):anxiousEgoMean",-0.18,0.13,24,-1.36,"0.186",""
"UPDRS_3","tp(B7):anxiousEgoMean",-0.14,0.13,24,-1.05,"0.305",""
"UPDRS_3","tp(B30):anxiousEgoMean",-0.07,0.13,24,-0.54,"0.594",""
"UPDRS_3","tp(A7):visionaryMean",-0.08,0.11,24,-0.73,"0.474",""
"UPDRS_3","tp(B7):visionaryMean",-0.12,0.11,24,-1.11,"0.278",""
"UPDRS_3","tp(B30):visionaryMean",-0.22,0.11,24,-1.96,"0.061",""
"UPDRS_4","(Intercept)",2.93,2.37,10.6,1.23,"0.244",""
"UPDRS_4","tp(A7)",-1.93,1.34,19.2,-1.44,"0.166",""
"UPDRS_4","tp(B7)",-2.24,1.23,19.1,-1.83,"0.083",""
"UPDRS_4","tp(B30)",-2.13,1.42,19.2,-1.5,"0.151",""
"UPDRS_4","boundlessMean",0.08,0.03,10.9,3.07,"0.011","*"
"UPDRS_4","anxiousEgoMean",0.05,0.05,9.7,0.92,"0.378",""
"UPDRS_4","visionaryMean",-0.13,0.05,13.6,-2.83,"0.014","*"
"UPDRS_4","tp(A7):boundlessMean",-0.04,0.02,19.2,-2.49,"0.022","*"
"UPDRS_4","tp(B7):boundlessMean",-0.06,0.01,19.1,-4.33,"<0.001","***"
"UPDRS_4","tp(B30):boundlessMean",-0.05,0.01,19.1,-3.31,"0.004","**"
"UPDRS_4","tp(A7):anxiousEgoMean",-0.05,0.03,19.2,-1.5,"0.151",""
"UPDRS_4","tp(B7):anxiousEgoMean",-0.04,0.02,19,-1.47,"0.157",""
"UPDRS_4","tp(B30):anxiousEgoMean",-0.03,0.03,19.2,-1.24,"0.230",""
"UPDRS_4","tp(A7):visionaryMean",0.09,0.03,19.2,3.02,"0.007","**"
"UPDRS_4","tp(B7):visionaryMean",0.11,0.03,19.2,3.8,"0.001","**"
"UPDRS_4","tp(B30):visionaryMean",0.09,0.03,19.2,3.19,"0.005","**"
"UPDRS_SUM","(Intercept)",89.71,24.53,10.9,3.66,"0.004","**"
"UPDRS_SUM","tp(A7)",-22.12,14.33,19.2,-1.54,"0.139",""
"UPDRS_SUM","tp(B7)",-20.84,13.11,19.2,-1.59,"0.128",""
"UPDRS_SUM","tp(B30)",-33.34,15.17,19.3,-2.2,"0.040","*"
"UPDRS_SUM","boundlessMean",0.69,0.28,11.2,2.45,"0.032","*"
"UPDRS_SUM","anxiousEgoMean",-0.42,0.52,9.9,-0.81,"0.436",""
"UPDRS_SUM","visionaryMean",-0.7,0.49,14.1,-1.44,"0.172",""
"UPDRS_SUM","tp(A7):boundlessMean",-0.22,0.17,19.3,-1.3,"0.208",""
"UPDRS_SUM","tp(B7):boundlessMean",-0.25,0.15,19.2,-1.63,"0.119",""
"UPDRS_SUM","tp(B30):boundlessMean",-0.11,0.16,19.2,-0.7,"0.493",""
"UPDRS_SUM","tp(A7):anxiousEgoMean",-0.05,0.32,19.3,-0.15,"0.886",""
"UPDRS_SUM","tp(B7):anxiousEgoMean",-0.01,0.26,19.1,-0.05,"0.961",""
"UPDRS_SUM","tp(B30):anxiousEgoMean",0.11,0.29,19.2,0.36,"0.725",""
"UPDRS_SUM","tp(A7):visionaryMean",0.28,0.31,19.3,0.91,"0.373",""
"UPDRS_SUM","tp(B7):visionaryMean",0.18,0.3,19.3,0.59,"0.560",""
"UPDRS_SUM","tp(B30):visionaryMean",0.15,0.3,19.3,0.48,"0.637",""
